label	YouTubeID
1	T7weHXcbt_Y
1	v0sIabjgTwM
1	kWO4dtXq_F0
1	VntlYcpLZUg
1	5ugHFPDLSrA
1	r3zKGEOrq4w
1	rc64dz7AnMs
1	MspudDWB1vE
1	rYzqqF52jKs
1	WV9oDr5y1e4
1	6yFhDbCILqE
1	wlEt0qSnsPc
1	cgFVR1ullMo
1	1DOMO8aCAqs
1	QJnF9lwqaa4
1	VyFsfRTSiqo
1	cc1IVOqOIjQ
1	PhGswDN75dE
1	rHSehh3zV2Q
1	TnxAfWBc8jg
1	uWOc7oUPdHk
1	aWfvKu0nzZc
1	5GGFDL8DRaY
1	rV_YRh1JMSs
1	l8c1cGjUTnc
1	vWHkq5CvuT4
1	PP_wErew3Ek
1	B8xTvkWA1rs
1	X5Yjjx4FDR0
1	Haw0ZKWkgUE
1	K-v_xrjx-r0
1	Mvw8IgDtT1k
1	fQFeTUzBKE4
1	-Efqg8enMq4
1	EIDS8qXfAY8
1	OFU9NBxqlos
1	87MeUqYjMEM
1	I88R9zDRUms
1	gTITLY6Dv7I
1	7sh92wAjD2I
1	DQOd6I0Xk0M
1	jp4LkeHtPXs
1	_ObSmukpTGM
1	6KB9kgzhB9U
1	Q6k2ehDqvD8
1	K3xB_ettw_M
1	QOaOCGhJ4YA
1	k5Sk7ZlSoVI
1	70LpjCRaZg4
1	zurJhJBBLDg
1	od60rzp1Py8
1	4b1nvbCNP2Y
1	hWLn22OM73U
1	Enq9AHKtN_8
1	YteGc4P_PEs
1	rZQY5iEcaH4
1	XN_mEmCedwY
1	dTVSK-uEdwk
1	VJNJ-zk34B8
1	flfTXbq8GIo
1	DF7tKDCswRA
1	Z60IF5nCpp4
1	t7Jy3XFTRaU
1	5UblNaQtRZ0
1	QQOsRFwqkr4
1	BMHA7NWXu3Q
1	EorfftURfkU
1	Mq02bLjxywg
1	k1nyn9A9Ixc
1	uB2GfP4uw5c
1	MEaNfTNoiWA
1	JBBOGlgO55c
1	AsQbrDR87Js
1	BH6BVpHXCH0
1	28SKp25AYuA
1	xi120BnbJG8
1	RWBpSjDwBLo
1	YkEA_rdo1Bg
1	vrNBRU70zcY
1	Xy1Z7CLbV2c
1	4ecBKpLnDR0
1	n6aktMdJSPU
1	lUYhZsdc7Ig
1	LaLqasr5D5Y
1	Im8ys83RFKM
1	g24HCzueTGk
